2017-04-05 13:15:42,587 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:15:42,587 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:15:42,588 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:15:42,588 INFO  [default] using bethe lattice guess
2017-04-05 13:15:42,588 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:15:42,588 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:15:42,588 INFO  [default] using bethe lattice guess
2017-04-05 13:15:42,588 INFO  [default] using bethe lattice guess
2017-04-05 13:33:32,803 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:33:32,803 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:33:32,803 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:33:32,803 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:33:32,803 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:33:32,803 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:33:32,804 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:33:32,804 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:33:32,804 INFO  [default] using bethe lattice guess
2017-04-05 13:33:32,804 INFO  [default] using bethe lattice guess
2017-04-05 13:33:32,804 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:33:32,804 INFO  [default] using bethe lattice guess
2017-04-05 13:34:18,184 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:34:18,184 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:34:18,184 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 13:34:18,184 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:34:18,184 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:34:18,184 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 13:34:18,185 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:34:18,185 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:34:18,185 INFO  [default] using bethe lattice guess
2017-04-05 13:34:18,185 INFO  [default] using bethe lattice guess
2017-04-05 13:34:18,185 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 13:34:18,185 INFO  [default] using bethe lattice guess
2017-04-05 16:30:42,930 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 16:30:42,930 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 16:30:42,930 INFO  [default] Testing with Bethe lattice guess, sc energy density, U = 2.5
2017-04-05 16:30:42,930 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 16:30:42,930 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 16:30:42,930 INFO  [default] Setting D = 1, t = D/2.0, a = 1
2017-04-05 16:30:42,931 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 16:30:42,931 INFO  [default] using bethe lattice guess
2017-04-05 16:30:42,931 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 16:30:42,931 INFO  [default] computing analytical solution for G_wn for U=0
2017-04-05 16:30:42,931 INFO  [default] using bethe lattice guess
2017-04-05 16:30:42,931 INFO  [default] using bethe lattice guess
2017-04-05 16:30:47,963 INFO  [default] initializing
2017-04-05 16:30:47,982 INFO  [default] Computing new Weiss Green's function
2017-04-05 16:30:48,492 INFO  [default] initializing
2017-04-05 16:30:48,511 INFO  [default] Computing new Weiss Green's function
2017-04-05 16:30:55,518 INFO  [default] U=2.5, beta=64 at iteration: 1(0%) order: -1717986918
2017-04-05 16:30:55,604 INFO  [default] U=2.5, beta=64 at iteration: 1(0%) order: -1717986918
2017-04-05 16:30:56,637 INFO  [default] U=2.5, beta=64 at iteration: 1(5%) order: -1717986918
2017-04-05 16:30:57,234 INFO  [default] U=2.5, beta=64 at iteration: 1(5%) order: -1717986918
2017-04-05 16:30:57,793 INFO  [default] U=2.5, beta=64 at iteration: 1(10%) order: -1717986918
2017-04-05 16:30:58,852 INFO  [default] U=2.5, beta=64 at iteration: 1(15%) order: -1717986918
2017-04-05 16:30:59,024 INFO  [default] U=2.5, beta=64 at iteration: 1(10%) order: -1717986918
